UEN	WEBSITE
2c5df8d27ebb07361af47afd8cb20fe530b66b7e6aaeca1953e2507dd105a4a7	www.omnifrozenfood.com.sg/businessunits.php
9ace3c182f47fe5df4d7053bd66a1a55e1a7bc0ebade14b5fa77160062e10762	www.silenteight.com
c6e8e7411a90de7037e42ec619dc41bb592bd84f98d6bb2f90cea9695b510894	www.frasersproperty.com
cab32c630abfa634b5bd80cde869f2398f66a1e9d2042bb3fdac5d79b64f3aa2	cubeinteractive.com.sg
8bcd0297b2011af484a9627e530c32f0a2ed4ba7fdb7675ffdc4f55be80b4899	www.travelthoughts.com.sg
6626f481368e1b933cad2d30b2de898941a18e80bc3c976fe726fd674b370f98	www.flairis.com
1c3833f4fbe86e6e26bfd603fa9a0eaafc74c9d8e28dd1b922740dd5859646ca	www.temasek.com.sg/en/index
f4bb4939a9ba906f1011e4a70cd372957c980398a76b37c15c6253514b9fc33f	www.kitchencentric.com.sg
6de5f198ded50913257eaaa8f423c23750d4d0f2046d1cf3a86e4382f05d872a	silverbackaircon.sg
b3700eadc9da3aad8eaec71ad4b0d26f6adbcaa20e7fe32e932beff6628accac	singaporeincorporation.net
60200054badd6ea62082b07021e38d9dad645f7655bfd1a03576ff6e7ab238ba	samsingapore.com/
353d63fe94bf0c07bd5d09a8d08f8859d31ba4cb28b71a46c4b01d90efef21ef	www.benjaminbarker.co
7019553b82f68afb823e4ffbd482ecac169d3b4a3a6a9ee6e616127dca954060	digili.com
cdc431e2c1ecddd242c1daf3b700aa857439ac9f70d85165c5635a952b3dd6ed	www.siongleng.com
1749b942c88b3761764fe4dffd603910ed25fcbf4bc7b13b78a47c3e32afbfa1	urbantalestudios.com
4bc0620c7bcf21fea726fee6cd5455246f6386571d1633e2a40bd11d23ed7a5d	asiapac.sg
5daeacae5744792bd47adf6b36642e55e91c57a455d2e46cf32e89d8203201be	https://www.licsingapore.com/
13b70c525e932a57a7746d497d6e0cebe1b2b1f63720789e8b720aec23ea39b6	www.genesis-global.com.sg
9e897eabe7d6d503bb72853237f4718d9122f8bae9161bbd5e0cc3f19db508d1	http://www.ukm.my/geniuspintar/
a85a4359b7ed57b35a87398cb987bd955010eb38fe3f736db8c8229d2eb3e607	surbanajurong.com
75f67d15c526ca4cd32adfe18aa43c37e4d8de54ecd792e35c545e81add0f159	www.corefitness.com.sg
96c80b341858bc4bd3cef6e6677a45633ddd3f7c92a8a010856174067b355d15	www.theintellect.com.sg
d8452a397704374f62f1c6f481320ab64ea774ce4deb381549e6f374d3a3866f	www.qoo10.sg
428aa11110dd00a400b681aac2eb9a504a455b11f20ac6ee4fee65de190c8b96	www.lagerman.nl
a67b4fdc99b950398a19e7b908e5b3e18149b70e8c4f334a4fa751d838a1d1c3	https://www.deepnovasg.com/
1e823c14a617cef4b70801ed8e60fba2cef9b01f5d3d220ac1b448c4ec22a30b	colorsds.sg/
049a9ceaaa706005c0abc08ddf746f7f25c092ba08a11d2b2833709f8feadb1f	www.frasersproperty.com
0b34ca039a1c9150fe2fcd61e8c197d5a022094d3b3636a2d5c0bb0a84369e97	expedite-facade.com.sg/profile.html
4708c1b402cd3a974bf05404276d62f8348f0f6dc676a600a4f08f0c47b2b1bf	www.stengg.com/en/innovation/corporate-venture-capital/
23bab49fa3b70e58117d0a49aa2ba1b70385cc3fa47229cf9e53def313d5a039	hatyaithaimassage.com
7c9170ab20e1e23a8b6a65bd91622212dd29b4451423f38c069c429eb4366bac	maosheng.com.sg
c57cb74b68cff56236470cfdcf7afc34c1606b2817e1b8451092b60c78afae41	dpa.com.sg
d3530939c3f2b4597f1924498d703c5a922ae7c463b1f85c9a7622bf1f6daa22	www.fusonholdings.com
a6fd2787f68e46c5ba8eea449f7bc66f0755da516dfe9fbcc2da5cfc475db05d	www.sfma.org.sg/member/info/new-hope-singapore-pte-ltd
fc3fef24acb5289298ad09192ed209038fb1cdfc30b515ad9198818cc99c795c	www.evocourier.com
1e9bd3fe2aa6f7a21c6b9314b06374903fb361956aba377698218f85d5ec853e	letemplay.com.sg
85e1970ace3dd2cf0f3112289c15d3a90d51e44a7b53267742682aaf1d78d8d3	http://www.toyoink.com.sg/
2811df2d56b054d75c5308fbb458caedc7ac676a90a6e183bc036f2344ac0cfa	s-portagencies.com
454331348863c1be936b2402f4df06e5642386cdb9691fbf373054c784dc7a0c	www.qoo10.sg
3cd4bc001e0086411afb5dddc4b194e736ec0b5ee96b24cba890c2edf5c679eb	www.pnsingapore.com/
7e9f2f8986130dafb0cdfbbba116a73fb02e2e851da7171dd3a22860e835437c	www.asian-agribiz.com
701ce284190e95a235217dde3e9ce20d360125f9f6bca6dc821ffb167d5635a0	www.ramroy.com.sg
3f0cf23f178514546b1ed0aa47a05a31ef02d3714f6475f50de302e0ac8bf1cf	https://www.frasersproperty.com/
cd1958e002d7e50ea157b2af9a4ddf95228ed368686ddbb09f3729c467882f41	http://www.continental-automotive.com/
c521f79851bd252db952ce80e360ff12f6e4a335d597e78fbb9f84ae7be8181f	www.intuitivecapital.com.sg
15d0edf66c1e151d17d4102e9d7e923fac18cd7e0ed67bf1c705ac5a8e6e6f93	www.newlandsim.com
6626b6c4bc06b1bcfb2b1dc659604145da5162f04f94b5033527e36c82b3a93e	http://www.avone.sg/
dd9c3cd8619ac94e4d7b6515ae5fec33af58988ea0ae7f7a0f09f36d2b17a745	www.apoil.com.sg
3f4882acdc65affc596a4230c90ff4b4161c804fdb6eeb9f3d2cd9f3228d9167	www.ihi.co.jp
ca2cc8c47768d8f7b1663443249159d66814f8a3b8c935b686c777e57406f116	www.aetos.com.sg/
50afe9b275466a317ae3383695e1494c3b947393c3b8eca5200193cafecda15e	www.fieldinternational.com/
7f293cc3a18bd6913d370dc36cd085362a110abc662bb04bd48f8dce7f795523	http://www.nugit.co/
f0a91be0cbd5b057247a9fe6c6d1b0baab3614a8449e991f870ee10d3bf2b4f6	www.readyserver.sg
f15a289d59aad8fe56ce8e606cc172a90eabc739588ebee749390cedc0a1d858	www.techsteel.com.sg
c282c570f11d7eabb02407258e532102f2df5fa2e42e895969906b38d57f93ba	http://www.greenaconsultants.com/
e0f70c1c01b5cf88277d11f24ad855234ac7b2bd9e47eff56b1c839329700d90	www.verizonbusiness.com
c81e011c9b5f466486b4179163d5a65338b8c22ea5259b6b15f630ea5ccbc355	www.wilmar-international.com
9c6f2672e91975886de13eb51e17853c627f8bb0525c614fc1fd2cd5fd640439	globalneolink.com/
