SOURCE	UEN	CLUSTER_DEFN	OR_CAT	EMP_SIZE	REF_YR	Age_Band	SSIC	WEBSITE
SGNIC	e99cb3497003aa9e96f6df7a80dcfa93823458d73e32348b6abc1bd99f3aa27e	12 Retail Trade	01. <=1mil	Missing EMP	2023	01. <= 5 Years	47412.0	INOCHI.COM.SG
ORBIS	edd32671689d939df6ec015dd5bfa44036950b23fbf6b8f1890a8bd58cf927dc	12 Retail Trade	03. 1mil -<= 10mil	02. 10 < Employees <= 50	2023	05. > 30 Years	47723.0	wongyiunam.com.sg
ORBIS	f6ef3f9a31e5ef316feb2b73ca84ec18fa0356b87164a7bade848cce119ea2de	01 Manufacturing	03. 1mil -<= 10mil	01. Employees <= 10	2023	01. <= 5 Years	18129.0	www.pilotpen.com.sg
ORBIS	f37407ae4e4883a192c03df657cfc5a0a0221dddd1c0917a730282a2204f3463	11 Wholesale	01. <=1mil	Missing EMP	2023	03. 10 to <= 2	46471.0	wallyourphotos.com
ORBIS	02950115471f371607ff447789ca70e2d3c1d86a6fdf8c8940013a168490ac6b	11 Wholesale	03. 1mil -<= 10mil	01. Employees <= 10	2023	02. 5 to <= 10	46661.0	tbtmarine.com.sg
SGNIC	f27d381b54a28d9cb83bffd1d1c4effa65aa2bfae11fb10c55813fc2a575034a	21 Other Services Industries	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	85409.0	SINACC.COM.SG
SGNIC	9208aea3f971e4c04a37ecc660461167ee33081be3879ad24ed8e012a9c54738	12 Retail Trade	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	47711.0	thebloombox.com.sg
GMAP	d0a1f5449aa305decaa58fd0c89f80b52de7b0246a356715849ffbf14aa24a10	20 Administrative & Support Services	01. <=1mil	01. Employees <= 10	2023	02. 5 to <= 10	78104.0	http://www.encasaasia.com/
ORBIS	7dade4c3983b6b41b3f92fca96828ac0e0be6e62f15594ee51121e61935502a9	11 Wholesale	03. 1mil -<= 10mil	01. Employees <= 10	2023	05. > 30 Years	46549.0	www.or.com.sg
SGNIC	6ed51d9245bdbe3e44e7f28809ec0f73ce0c9ec682d67e97541d5461152c8a21	21 Other Services Industries	01. <=1mil	Missing EMP	2023	03. 10 to <= 2	85409.0	maxacademy.net
ORBIS	09956025f82da8d2d3e2726efaecef85d8abce89adcfadfd41df3301666c9e8b	18 Real Estate	06. 10mil -<= 100mil	Missing EMP	2023	04. 20 to <= 3	68103.0	www.onenorthcapital.com
ORBIS	0c905d81b937e222a32418fbe09886e61466fe9693e83ca817ba70b621db3b75	20 Administrative & Support Services	01. <=1mil	Missing EMP	2023	02. 5 to <= 10	78104.0	rigforceglobal.com
